Open,Close,High,Low,Volume,Date
1815.45,1821.5,1827.45,1814.6,,12/31/21
1804.3,1814.95,1816.9,1796.34,,12/30/21
1806.34,1804.55,1807.65,1789.33,,12/29/21
1811.95,1805.85,1819.85,1804.79,,12/28/21
1802.93,1812.15,1813.1,1802.93,,12/27/21
1802.93,1802.93,1802.93,1802.93,,12/26/21
1808.8,1802.93,1812.7,1802.93,,12/24/21
1803.4,1808.8,1810.5,1799.5,,12/23/21
1789.15,1803.45,1804.65,1786,,12/22/21
1791.05,1788.8,1799.9,1785.02,,12/21/21
1800.85,1790.65,1803.8,1788.18,,12/20/21
1797.95,1797.95,1797.95,1797.95,,12/19/21
1797.95,1797.95,1797.95,1797.95,,12/18/21
1798.55,1797.95,1813.9,1796,,12/17/21
1778.82,1799.4,1799.5,1775.9,,12/16/21
1771.35,1777.66,1780.7,1756.05,,12/15/21
1786.3,1770.5,1789.55,1766.9,,12/14/21
1782.7,1786.65,1791.1,1782.15,,12/13/21
1782.7,1782.7,1782.7,1782.7,,12/12/21
1782.7,1782.7,1782.7,1782.7,,12/11/21
1776,1782.7,1787.7,1769.9,,12/10/21
1783.1,1775,1787.24,1773.87,,12/09/21
1784.85,1783.1,1792.72,1779.9,,12/08/21
1779.2,1784.2,1787.55,1772.7,,12/07/21
1782,1778.3,1787.25,1776.35,,12/06/21
1783.35,1783.35,1783.35,1783.35,,12/05/21
1783.35,1783.35,1783.35,1783.35,,12/04/21
1769.5,1783.35,1785.95,1766,,12/03/21
1781.9,1767.73,1782.9,1762.19,,12/02/21
1775.95,1780.98,1791.7,1772.3,,12/01/21
1785.25,1775.05,1808.45,1769.7,,11/30/21
1788.6,1784.6,1799.35,1781.6,,11/29/21
1792.6,1792.6,1792.6,1792.6,,11/28/21
1789.54,1792.6,1814.7,1783.5,,11/26/21
1788.3,1789.54,1794.8,1786.21,,11/25/21
1789.11,1788.75,1796.35,1778.8,,11/24/21
1808.45,1789.1,1811.79,1782,,11/23/21
1844.09,1804.75,1848.8,1802.6,,11/22/21
1845.8,1845.8,1845.8,1845.8,,11/21/21
1845.8,1845.8,1845.8,1845.8,,11/20/21
1859.3,1845.8,1865.11,1843.55,,11/19/21
1866.45,1859,1870.9,1855.6,,11/18/21
1849.85,1867.4,1867.9,1849.75,,11/17/21
1862.25,1850.6,1876.43,1849.46,,11/16/21
1864.9,1862.8,1869.4,1856.2,,11/15/21
1864.9,1864.9,1864.9,1864.9,,11/14/21
1861.9,1864.9,1868.11,1845.2,,11/12/21
1848.85,1862.2,1865.85,1843.1,,11/11/21
1831.85,1849.2,1859.75,1822.79,,11/10/21
1824.3,1831.85,1832.6,1819.02,,11/09/21
1815.85,1824.05,1826.15,1812.52,,11/08/21
1817.73,1817.73,1817.73,1817.73,,11/07/21
1817.73,1817.73,1817.73,1817.73,,11/06/21
1791.7,1817.73,1818.25,1785.95,,11/05/21
1773.7,1791.15,1798.8,1770.8,,11/04/21
1786.78,1773.55,1787.38,1758.63,,11/03/21
1791.38,1787.08,1796,1786.2,,11/02/21
1780.59,1791.44,1795.5,1779.1,,11/01/21
1781.35,1780.65,1782.25,1780.4,,10/31/21
0,1769.5,1769.5,1769.5,,10/30/21
1799.5,1783.4,1801.15,1772.1,,10/29/21
1796.29,1799.05,1809.67,1792.5,,10/28/21
1792.67,1797.72,1798.7,1783.39,,10/27/21
1807.19,1792.99,1807.89,1782.59,,10/26/21
1792.79,1807.74,1809.69,1792.29,,10/25/21
1783.17,1792.79,1813.39,1782.79,,10/22/21
1782.59,1782.84,1788.99,1776.49,,10/21/21
1769.29,1782.19,1788.09,1766.72,,10/20/21
1764.99,1770.04,1784.89,1762.69,,10/19/21
1767.59,1764.69,1771.69,1760.17,,10/18/21
1767.59,1767.59,1767.59,1767.59,,10/17/21
1795.87,1767.59,1796.44,1764.69,,10/15/21
1792.69,1796.09,1799.99,1786.59,,10/14/21
1760.49,1793.94,1795.57,1758.69,,10/13/21
1753.94,1759.94,1769.09,1750.89,,10/12/21
1756.64,1753.99,1760.89,1750.29,,10/11/21
1756.64,1756.64,1756.64,1756.64,,10/10/21
1755.84,1756.64,1780.79,1753.27,,10/08/21
1762.89,1754.43,1766.69,1751.99,,10/07/21
1759.89,1762.89,1764.79,1745.84,,10/06/21
1768.37,1760.09,1769.24,1749.13,,10/05/21
1760.99,1769.44,1770.44,1747.67,,10/04/21
1760.54,1760.54,1760.54,1760.54,,10/03/21
1755.67,1760.54,1763.37,1749.77,,10/01/21
1726.97,1757.64,1763.7,1722.07,,09/30/21
1734.14,1727.28,1745.49,1721.49,,09/29/21
1750.42,1734.47,1754.1,1727.99,,09/28/21
1749.67,1750.87,1760.39,1745.19,,09/27/21
