Date,Open,High,Low,Close
09/29/2023,"4,328.18","4,333.15","4,274.86","4,288.05"
09/28/2023,"4,269.65","4,317.27","4,264.38","4,299.70"
09/27/2023,"4,282.63","4,292.07","4,238.63","4,274.51"
09/26/2023,"4,312.88","4,313.01","4,265.98","4,273.53"
09/25/2023,"4,310.62","4,338.51","4,302.70","4,337.44"
09/22/2023,"4,341.74","4,357.40","4,316.49","4,320.06"
09/21/2023,"4,374.36","4,375.70","4,329.17","4,330.00"
09/20/2023,"4,452.81","4,461.03","4,401.38","4,402.20"
09/19/2023,"4,445.41","4,449.85","4,416.61","4,443.95"
09/18/2023,"4,445.13","4,466.36","4,442.11","4,453.53"
09/15/2023,"4,497.98","4,497.98","4,447.21","4,450.32"
09/14/2023,"4,487.78","4,511.99","4,478.69","4,505.10"
09/13/2023,"4,462.65","4,479.39","4,453.52","4,467.44"
09/12/2023,"4,473.27","4,487.11","4,456.83","4,461.90"
09/11/2023,"4,480.98","4,490.77","4,467.89","4,487.46"
09/08/2023,"4,451.30","4,473.53","4,448.38","4,457.49"
09/07/2023,"4,434.55","4,457.81","4,430.46","4,451.14"
09/06/2023,"4,490.35","4,490.35","4,442.38","4,465.48"
09/05/2023,"4,510.06","4,514.29","4,496.01","4,496.83"
09/01/2023,"4,530.85","4,541.25","4,501.35","4,515.77"
08/31/2023,"4,517.01","4,532.26","4,507.39","4,507.66"
08/30/2023,"4,500.34","4,521.65","4,493.59","4,514.87"
08/29/2023,"4,432.75","4,500.14","4,431.68","4,497.63"
08/28/2023,"4,426.03","4,439.56","4,414.98","4,433.31"
08/25/2023,"4,389.38","4,418.46","4,356.29","4,405.71"
08/24/2023,"4,455.16","4,458.30","4,375.55","4,376.31"
08/23/2023,"4,396.44","4,443.18","4,396.44","4,436.01"
08/22/2023,"4,415.33","4,418.59","4,382.77","4,387.55"
08/21/2023,"4,380.28","4,407.55","4,360.30","4,399.77"
08/18/2023,"4,344.88","4,381.82","4,335.31","4,369.71"
08/17/2023,"4,416.32","4,421.17","4,364.83","4,370.36"
08/16/2023,"4,433.79","4,449.95","4,403.55","4,404.33"
08/15/2023,"4,478.87","4,478.87","4,432.19","4,437.86"
08/14/2023,"4,458.13","4,490.33","4,453.44","4,489.72"
08/11/2023,"4,450.69","4,476.23","4,443.98","4,464.05"
08/10/2023,"4,487.16","4,527.37","4,457.92","4,468.83"
08/09/2023,"4,501.57","4,502.44","4,461.33","4,467.71"
08/08/2023,"4,498.03","4,503.31","4,464.39","4,499.38"
08/07/2023,"4,491.58","4,519.84","4,491.15","4,518.44"
08/04/2023,"4,513.96","4,540.34","4,474.55","4,478.03"
08/03/2023,"4,494.27","4,519.49","4,485.54","4,501.89"
08/02/2023,"4,550.93","4,550.93","4,505.75","4,513.39"
08/01/2023,"4,578.83","4,584.62","4,567.53","4,576.73"
07/31/2023,"4,584.82","4,594.22","4,573.14","4,588.96"
07/28/2023,"4,565.75","4,590.16","4,564.01","4,582.23"
07/27/2023,"4,598.26","4,607.07","4,528.56","4,537.41"
07/26/2023,"4,558.96","4,582.47","4,547.58","4,566.75"
07/25/2023,"4,555.19","4,580.62","4,552.42","4,567.46"
07/24/2023,"4,543.39","4,563.41","4,541.29","4,554.64"
07/21/2023,"4,550.16","4,555.00","4,535.79","4,536.34"
07/20/2023,"4,554.38","4,564.74","4,527.56","4,534.87"
07/19/2023,"4,563.87","4,578.43","4,557.48","4,565.72"
07/18/2023,"4,521.78","4,562.30","4,514.59","4,554.98"
07/17/2023,"4,508.86","4,532.85","4,504.90","4,522.79"
07/14/2023,"4,514.61","4,527.76","4,499.56","4,505.42"
07/13/2023,"4,491.50","4,517.38","4,489.36","4,510.04"
07/12/2023,"4,467.69","4,488.34","4,463.23","4,472.16"
07/11/2023,"4,415.55","4,443.64","4,408.46","4,439.26"
07/10/2023,"4,394.23","4,412.60","4,389.92","4,409.53"
07/07/2023,"4,404.54","4,440.39","4,397.40","4,398.95"
07/06/2023,"4,422.62","4,422.62","4,385.05","4,411.59"
07/05/2023,"4,442.04","4,454.06","4,436.61","4,446.82"
07/03/2023,"4,449.45","4,456.46","4,442.29","4,455.59"
06/30/2023,"4,422.44","4,458.48","4,422.44","4,450.38"
06/29/2023,"4,374.94","4,398.39","4,371.97","4,396.44"
06/28/2023,"4,367.48","4,390.35","4,360.22","4,376.86"
06/27/2023,"4,337.36","4,384.42","4,335.00","4,378.41"
06/26/2023,"4,344.84","4,362.06","4,328.08","4,328.82"
06/23/2023,"4,354.17","4,366.55","4,341.34","4,348.33"
06/22/2023,"4,355.40","4,382.25","4,351.82","4,381.89"
06/21/2023,"4,380.01","4,386.22","4,360.14","4,365.69"
06/20/2023,"4,396.11","4,400.15","4,367.19","4,388.71"
06/16/2023,"4,442.70","4,448.47","4,407.44","4,409.59"
06/15/2023,"4,365.33","4,439.20","4,362.60","4,425.84"
06/14/2023,"4,366.29","4,391.82","4,337.85","4,372.59"
06/13/2023,"4,352.61","4,375.37","4,349.31","4,369.01"
06/12/2023,"4,308.32","4,340.13","4,304.37","4,338.93"
06/09/2023,"4,304.88","4,322.62","4,291.70","4,298.86"
06/08/2023,"4,268.69","4,298.01","4,261.07","4,293.93"
06/07/2023,"4,285.47","4,299.19","4,263.96","4,267.52"
06/06/2023,"4,271.34","4,288.33","4,263.09","4,283.85"
06/05/2023,"4,282.99","4,299.28","4,266.82","4,273.79"
06/02/2023,"4,241.01","4,290.67","4,241.01","4,282.37"
06/01/2023,"4,183.03","4,232.43","4,171.64","4,221.02"
05/31/2023,"4,190.74","4,195.44","4,166.15","4,179.83"
05/30/2023,"4,226.71","4,231.10","4,192.18","4,205.52"
05/26/2023,"4,155.98","4,212.87","4,156.16","4,205.45"
05/25/2023,"4,155.71","4,165.74","4,129.73","4,151.28"
05/24/2023,"4,132.96","4,132.96","4,103.98","4,115.24"
05/23/2023,"4,176.80","4,185.68","4,142.54","4,145.58"
05/22/2023,"4,190.78","4,209.22","4,179.68","4,192.63"
05/19/2023,"4,204.15","4,212.91","4,180.20","4,191.98"
05/18/2023,"4,157.68","4,202.20","4,153.50","4,198.05"
05/17/2023,"4,122.85","4,164.67","4,113.62","4,158.77"
05/16/2023,"4,127.95","4,135.54","4,109.86","4,109.90"
05/15/2023,"4,126.65","4,141.25","4,110.27","4,136.28"
05/12/2023,"4,138.54","4,143.74","4,099.12","4,124.08"
05/11/2023,"4,132.24","4,132.80","4,109.29","4,130.62"
05/10/2023,"4,143.74","4,154.28","4,098.92","4,137.64"
05/09/2023,"4,124.25","4,130.35","4,116.65","4,119.17"
05/08/2023,"4,136.98","4,142.30","4,123.81","4,138.12"
05/05/2023,"4,084.73","4,147.02","4,084.73","4,136.25"
05/04/2023,"4,082.55","4,082.61","4,048.28","4,061.22"
05/03/2023,"4,122.25","4,148.30","4,088.86","4,090.75"
05/02/2023,"4,164.10","4,164.10","4,089.72","4,119.58"
05/01/2023,"4,166.79","4,186.92","4,164.12","4,167.87"
