Open,Close,High,Low,Volume,Date
23,23.37,23.68,22.88,,10/20/23
22.86,23.06,23.08,22.65,,10/19/23
22.79,22.89,23.31,22.68,,10/18/23
22.58,22.85,22.99,22.37,,10/17/23
22.64,22.62,22.72,22.47,,10/16/23
22.73,22.73,22.73,22.73,,10/15/23
22.73,22.73,22.73,22.73,,10/14/23
21.83,22.73,22.81,21.81,,10/13/23
22.02,21.86,22.24,21.75,,10/12/23
21.83,22.08,22.12,21.79,,10/11/23
21.87,21.84,21.95,21.63,,10/10/23
21.9,21.92,22,21.57,,10/09/23
21.56,21.56,21.56,21.56,,10/08/23
21.56,21.56,21.56,21.56,,10/07/23
20.99,21.56,21.62,20.8,,10/06/23
21.01,20.93,21.3,20.71,,10/05/23
21.19,20.99,21.38,20.71,,10/04/23
21.05,21.17,21.39,20.69,,10/03/23
22.18,21.09,22.18,21.02,,10/02/23
22.19,22.19,22.19,22.19,,10/01/23
22.19,22.19,22.19,22.19,,09/30/23
22.63,22.19,23.54,22.11,,09/29/23
22.54,22.62,22.72,22.39,,09/28/23
22.85,22.54,22.88,22.41,,09/27/23
23.13,22.88,23.14,22.84,,09/26/23
23.56,23.14,23.65,23.05,,09/25/23
23.56,23.56,23.56,23.56,,09/24/23
23.56,23.56,23.56,23.56,,09/23/23
23.4,23.56,23.77,23.4,,09/22/23
23.22,23.41,23.47,22.81,,09/21/23
23.21,23.27,23.59,23.05,,09/20/23
23.26,23.3,23.41,23.11,,09/19/23
23.05,23.26,23.26,22.96,,09/18/23
23.02,23.03,23.03,23.02,,09/17/23
23.02,23.02,23.02,23.02,,09/16/23
22.64,23.02,23.28,22.62,,09/15/23
22.84,22.66,22.97,22.3,,09/14/23
23.06,22.86,23.09,22.74,,09/13/23
23.08,23.13,23.19,22.84,,09/12/23
22.93,23.1,23.21,22.91,,09/11/23
22.92,22.92,22.92,22.92,,09/10/23
22.93,22.93,22.93,22.93,,09/09/23
22.97,22.93,23.17,22.85,,09/08/23
23.18,22.97,23.19,22.84,,09/07/23
23.55,23.21,23.59,23,,09/06/23
24,23.54,24,23.48,,09/05/23
24.19,24,24.29,23.96,,09/02/23
24.43,24.19,24.81,24.15,,09/01/23
24.61,24.46,24.68,24.37,,08/31/23
24.71,24.67,25.01,24.54,,08/30/23
24.23,24.75,24.79,24.17,,08/29/23
